cycle,sponsor,sponsor.full.name,chamber,party,n
2001,B. Walker,Bill Walker,Senate,D,30
2001,Beebe,Mike Beebe,Senate,D,25
2001,Brown,John E. Brown,Senate,R,26
2001,D. Malone,David Malone,Senate,D,24
2001,DeLay,Gunner DeLay,Senate,R,26
2001,Everett,Mike Everett,Senate,D,40
2001,Fitch,Jon Fitch,Senate,D,41
2001,Gwatney,Bill Gwatney,Senate,D,18
2001,Hoofman,Cliff Hoofman,Senate,D,12
2001,Hunter,Gary Hunter,Senate,D,21
2001,K. Smith,Kevin Smith,Senate,D,27
2001,Mahony,Jodie Mahony,Senate,D,70
2001,Riggs,John A. Riggs,Senate,R,40
2001,Webb,NA,Senate,R,28
2001,Wooldridge,Tim Wooldridge,Senate,D,35
2003,Agee,Sarah Agee,House,R,40
2003,Biggs,Gary Biggs,House,D,36
2003,Bradford,Jay Bradford,House,D,41
2003,Bright,Stephen D. Bright,House,R,40
2003,C. Johnson,Calvin Johnson,House,D,69
2003,J. Bookout,Jerry Bookout,Senate,D,77
2003,Lewellen,John Lewellen,House,D,25
2003,Mack,Dewayne Mack,House,D,35
2003,Mahony,Jodie Mahony,House,D,75
2003,Nichols,Wayne Nichols,House,D,31
2003,Roebuck,Tommy G. Roebuck,House,D,50
2003,Scrimshire,Bill Scrimshire,House,D,21
2003,Scroggin,Preston Scroggin,House,D,62
2003,Thomason,Chris Thomason,House,D,32
2003,Weaver,Paul Weaver,House,D,42
2003,Wooldridge,Tim Wooldridge,Senate,D,59
2005,J. Bookout,Jerry Bookout,Senate,D,77
2005,Wooldridge,Tim Wooldridge,Senate,D,59
2007,Creekmore,NA,House,D,1
2009,Cole,NA,House,D,54
2011,F. Smith,NA,NA,D,1